Min X value: -12.95802
Min Y value: 0
Min Z value: -12.9573
Max X value: 2004.363
Max Y value: 0
Max Z value: 1997.785
Key: charpos in X , Y , Z , Time since start capture
1043.066 , 51.10947 , 692.8281 , 0
1043.066 , 51.10947 , 692.8281 , 0.02
1043.066 , 51.10947 , 692.8281 , 0.04
1043.066 , 51.10947 , 692.8281 , 0.06
1043.066 , 51.10947 , 692.8281 , 0.08
1043.066 , 51.10947 , 692.8281 , 0.09999999
1043.066 , 51.10947 , 692.8281 , 0.12
1043.066 , 51.10947 , 692.8281 , 0.14
1043.066 , 51.10947 , 692.8281 , 0.16
1043.066 , 51.10947 , 692.8281 , 0.18
1043.066 , 51.10947 , 692.8281 , 0.2
1043.066 , 51.10947 , 692.8281 , 0.22
1043.066 , 51.10947 , 692.8281 , 0.24
1043.066 , 51.10947 , 692.8281 , 0.26
1043.066 , 51.10947 , 692.8281 , 0.28
1043.066 , 51.10947 , 692.8281 , 0.3
1043.066 , 51.10947 , 692.8281 , 0.32
1043.066 , 51.10947 , 692.8281 , 0.34
1043.066 , 51.10947 , 692.8281 , 0.36
1043.066 , 51.10947 , 692.8281 , 0.38
1043.066 , 51.10947 , 692.8281 , 0.4
1043.066 , 51.10947 , 692.8281 , 0.42
1043.066 , 51.10947 , 692.8281 , 0.44
1043.066 , 51.10947 , 692.8281 , 0.46
1043.066 , 51.10947 , 692.8281 , 0.48
1043.066 , 51.10947 , 692.8281 , 0.5
1043.066 , 51.10947 , 692.8281 , 0.52
1043.066 , 51.10947 , 692.8281 , 0.54
1043.066 , 51.10947 , 692.8281 , 0.56
1043.066 , 51.10947 , 692.8281 , 0.58
1043.066 , 51.10947 , 692.8281 , 0.6
1043.066 , 51.10947 , 692.8281 , 0.62
1043.066 , 51.10947 , 692.8281 , 0.64
1043.066 , 51.10947 , 692.8281 , 0.66
1043.066 , 51.10947 , 692.8281 , 0.68
1043.066 , 51.10947 , 692.8281 , 0.7
1043.066 , 51.10947 , 692.8281 , 0.72
1043.066 , 51.10947 , 692.8281 , 0.74
1043.066 , 51.10947 , 692.8281 , 0.76
1043.066 , 51.10947 , 692.8281 , 0.78
1043.066 , 51.10947 , 692.8281 , 0.8
1043.066 , 51.10947 , 692.8281 , 0.82
1043.066 , 51.10947 , 692.8281 , 0.84
1043.066 , 51.10947 , 692.8281 , 0.86
1043.066 , 51.10947 , 692.8281 , 0.88
1043.066 , 51.10947 , 692.8281 , 0.9
1043.066 , 51.10947 , 692.8281 , 0.92
1043.066 , 51.10947 , 692.8281 , 0.94
1043.066 , 51.10947 , 692.8281 , 0.96
1043.066 , 51.10947 , 692.8281 , 0.98
1043.066 , 51.10947 , 692.8281 , 1
1043.066 , 51.10947 , 692.8281 , 1.02
1043.066 , 51.10947 , 692.8281 , 1.04
1043.066 , 51.10947 , 692.8281 , 1.06
